learner_id,day,concept_id,mastery
L011,20,F7,0.3897032
L011,20,F8,0.37710198
L012,10,F1,0.3648788
L012,10,F2,0.38949591
L012,10,F3,0.28493568
L012,10,F4,0.24792154
L012,10,F5,0.33563026
L012,10,F6,0.22488025
L012,10,F7,0.32348466
L012,10,F8,0.27406923
L012,20,F1,0.35758628
L012,20,F2,0.37284055
L012,20,F3,0.55385113
L012,20,F4,0.37666247
L012,20,F5,0.43341245
L012,20,F6,0.30931216
L012,20,F7,0.44326427
L012,20,F8,0.32113621
L013,10,F1,0.24167771
L013,10,F2,0.27888464
L013,10,F3,0.26587734
L013,10,F4,0.43844959
L013,10,F5,0.23748426
L013,10,F6,0.4089402
L013,10,F7,0.46612815
L013,10,F8,0.38267669
L013,20,F1,0.36940927
L013,20,F2,0.36150353
L013,20,F3,0.61349415
L013,20,F4,0.58344083
L013,20,F5,0.55244848
L013,20,F6,0.43600615
L013,20,F7,0.58134903
L013,20,F8,0.64259899
L014,10,F1,0.26652271
L014,10,F2,0.35506378
L014,10,F3,0.37610707
L014,10,F4,0.30694013
L014,10,F5,0.39386984
L014,10,F6,0.2478501
L014,10,F7,0.31592791
L014,10,F8,0.34392693
L014,20,F1,0.47379474
L014,20,F2,0.353822
L014,20,F3,0.36741527
L014,20,F4,0.324449
L014,20,F5,0.6290998
L014,20,F6,0.61634487
L014,20,F7,0.32820201
L014,20,F8,0.34687877
L015,10,F1,0.27725462
L015,10,F2,0.37906805
L015,10,F3,0.29946341
L015,10,F4,0.39888139
L015,10,F5,0.45734229
L015,10,F6,0.43642163
L015,10,F7,0.36887302
L015,10,F8,0.28265226
L015,20,F1,0.45892315
L015,20,F2,0.3679247
L015,20,F3,0.58090728
L015,20,F4,0.49015592
L015,20,F5,0.61080677
L015,20,F6,0.41820328
L015,20,F7,0.56078998
L015,20,F8,0.52618702
L016,10,F1,0.26657764
L016,10,F2,0.41722746
L016,10,F3,0.3351654
L016,10,F4,0.48806541
L016,10,F5,0.26014206
L016,10,F6,0.56407257
L016,10,F7,0.34641297
L016,10,F8,0.32284814
L016,20,F1,0.37469875
L016,20,F2,0.42820548
L016,20,F3,0.5933154
L016,20,F4,0.59579448
L016,20,F5,0.33260434
L016,20,F6,0.549353
L016,20,F7,0.40604738
L016,20,F8,0.4732641
L017,10,F1,0.33640305
L017,10,F2,0.40865083
L017,10,F3,0.28621155
L017,10,F4,0.41220086
L017,10,F5,0.44270584
L017,10,F6,0.46199939
L017,10,F7,0.49952573
L017,10,F8,0.34749778
L017,20,F1,0.50939246
L017,20,F2,0.53546245
L017,20,F3,0.36752776
L017,20,F4,0.62160914
L017,20,F5,0.41970975
L017,20,F6,0.53932606
L017,20,F7,0.46449088
L017,20,F8,0.5246992
L018,10,F1,0.3528174
L018,10,F2,0.21452673
L018,10,F3,0.35766477
L018,10,F4,0.42616284
L018,10,F5,0.29883783
L018,10,F6,0.37046964
L018,10,F7,0.3843569
L018,10,F8,0.22918719
L018,20,F1,0.36188403
L018,20,F2,0.61304828
L018,20,F3,0.36284458
L018,20,F4,0.41620478
L018,20,F5,0.50833565
L018,20,F6,0.46465891
L018,20,F7,0.38588621
L018,20,F8,0.57178104
L019,10,F1,0.30336334
L019,10,F2,0.53469327
L019,10,F3,0.29246882
L019,10,F4,0.24363107
L019,10,F5,0.45653735
L019,10,F6,0.45781433
L019,10,F7,0.47148465
L019,10,F8,0.4838337
L019,20,F1,0.57576731
L019,20,F2,0.58647562
L019,20,F3,0.46493324
L019,20,F4,0.56254498
L019,20,F5,0.5488215
L019,20,F6,0.63513001
L019,20,F7,0.57408517
L019,20,F8,0.44853195
L020,10,F1,0.35870004
L020,10,F2,0.32684182
L020,10,F3,0.21970854
L020,10,F4,0.34405599
L020,10,F5,0.21406007
L020,10,F6,0.36079808
L020,10,F7,0.2419885
L020,10,F8,0.32667414
L020,20,F1,0.34750055
L020,20,F2,0.32838105
L020,20,F3,0.44445967
L020,20,F4,0.43269327
L020,20,F5,0.45439729
L020,20,F6,0.349129
L020,20,F7,0.48002618
L020,20,F8,0.43915732
L021,10,F1,0.23889374
L021,10,F2,0.31449031
L021,10,F3,0.29148662
L021,10,F4,0.23206032
L021,10,F5,0.43611484
L021,10,F6,0.22132336
L021,10,F7,0.33457147
L021,10,F8,0.41844005
L021,20,F1,0.27979493
L021,20,F2,0.41487264
L021,20,F3,0.40235214
L021,20,F4,0.46681824
L021,20,F5,0.40225233
L021,20,F6,0.2880231
L021,20,F7,0.3225069
L021,20,F8,0.47704834
L022,10,F1,0.2313769
L022,10,F2,0.2519675
L022,10,F3,0.45604949
L022,10,F4,0.21923004
L022,10,F5,0.22241267
L022,10,F6,0.42616638
L022,10,F7,0.41864236
L022,10,F8,0.22319386
L022,20,F1,0.26901269
L022,20,F2,0.49162673
L022,20,F3,0.60720013
L022,20,F4,0.51238775
L022,20,F5,0.28963516
L022,20,F6,0.41881157
L022,20,F7,0.58756173
L022,20,F8,0.32357991
L023,10,F1,0.26529223
L023,10,F2,0.28705923
L023,10,F3,0.26130217
L023,10,F4,0.45953456
L023,10,F5,0.43322775
L023,10,F6,0.4380976
L023,10,F7,0.38216733
L023,10,F8,0.44008231
L023,20,F1,0.48768421
L023,20,F2,0.59026493
L023,20,F3,0.40882648
L023,20,F4,0.56245697
L023,20,F5,0.57227785
L023,20,F6,0.55558767
L023,20,F7,0.40067363
L023,20,F8,0.57784023
L024,10,F1,0.2536478
L024,10,F2,0.44831388
L024,10,F3,0.28622143
L024,10,F4,0.45748374
L024,10,F5,0.42497755
L024,10,F6,0.30515716
L024,10,F7,0.48473278
L024,10,F8,0.40551853
L024,20,F1,0.41904398
L024,20,F2,0.60538562
L024,20,F3,0.62570153
L024,20,F4,0.54407295
L024,20,F5,0.41057698
L024,20,F6,0.37686966
L024,20,F7,0.62534538
L024,20,F8,0.50345785
L025,10,F1,0.48865045
L025,10,F2,0.44174553
L025,10,F3,0.46193729
L025,10,F4,0.46531976
L025,10,F5,0.59202793
L025,10,F6,0.64647046
L025,10,F7,0.54380401
L025,10,F8,0.52016629
L025,20,F1,0.69621733
L025,20,F2,0.68205516
L025,20,F3,0.56233641
L025,20,F4,0.56091941
L025,20,F5,0.66126448
L025,20,F6,0.7280268
L025,20,F7,0.70784683
L025,20,F8,0.70288057
L026,10,F1,0.27700767
L026,10,F2,0.23394772
L026,10,F3,0.24816689
L026,10,F4,0.49785633
L026,10,F5,0.22342311
L026,10,F6,0.48184762
L026,10,F7,0.44319204
L026,10,F8,0.39446237
L026,20,F1,0.34737976
L026,20,F2,0.31633347
L026,20,F3,0.48451851
L026,20,F4,0.59728613
L026,20,F5,0.46699351
L026,20,F6,0.56279226
L026,20,F7,0.64255694
L026,20,F8,0.60298758
L027,10,F1,0.48314568
L027,10,F2,0.21415991
L027,10,F3,0.40889213
L027,10,F4,0.56493292
L027,10,F5,0.39515868
L027,10,F6,0.25763698
L027,10,F7,0.3398332
L027,10,F8,0.17515841
L027,20,F1,0.45366798
L027,20,F2,0.45706789
L027,20,F3,0.39264021
L027,20,F4,0.63458524
L027,20,F5,0.49102422
L027,20,F6,0.40766388
L027,20,F7,0.5126482
L027,20,F8,0.39576267
L028,10,F1,0.24514061
L028,10,F2,0.2909582
L028,10,F3,0.3703897
L028,10,F4,0.33420023
L028,10,F5,0.22487449
L028,10,F6,0.27611386
L028,10,F7,0.43845318
L028,10,F8,0.33658988
L028,20,F1,0.42961888
L028,20,F2,0.35234742
L028,20,F3,0.48767825
L028,20,F4,0.49485693
L028,20,F5,0.41161755
L028,20,F6,0.428127
L028,20,F7,0.44968898
L028,20,F8,0.3636752
L029,10,F1,0.26216859
L029,10,F2,0.41158
L029,10,F3,0.28877901
L029,10,F4,0.22775853
L029,10,F5,0.21870945
L029,10,F6,0.28148542
L029,10,F7,0.28638812
L029,10,F8,0.26620215
L029,20,F1,0.3511902
L029,20,F2,0.55035625
L029,20,F3,0.37389843
L029,20,F4,0.46657635
L029,20,F5,0.43167584
L029,20,F6,0.32449678
L029,20,F7,0.47245995
L029,20,F8,0.35458008
L030,10,F1,0.363659
L030,10,F2,0.31340387
L030,10,F3,0.51322091
L030,10,F4,0.46946407
L030,10,F5,0.51113135
L030,10,F6,0.51554745
L030,10,F7,0.3664244
L030,10,F8,0.25239773
L030,20,F1,0.4333545
L030,20,F2,0.60796204
L030,20,F3,0.70796147
L030,20,F4,0.48646033
L030,20,F5,0.63143341
L030,20,F6,0.6317055
L030,20,F7,0.52927334
L030,20,F8,0.41130333
L031,10,F1,0.42458819
L031,10,F2,0.43222405
L031,10,F3,0.3321594
L031,10,F4,0.22719189
L031,10,F5,0.22977984
L031,10,F6,0.33203488
L031,10,F7,0.41811638
L031,10,F8,0.38555668
L031,20,F1,0.40109887
L031,20,F2,0.48795961
L031,20,F3,0.32083787
L031,20,F4,0.56865385
L031,20,F5,0.2864617
L031,20,F6,0.44942373
L031,20,F7,0.51035327
L031,20,F8,0.46699428
L032,10,F1,0.23030487
L032,10,F2,0.54358106
L032,10,F3,0.47818735
L032,10,F4,0.46245221
L032,10,F5,0.22171148
L032,10,F6,0.30232898
L032,10,F7,0.25206063
L032,10,F8,0.25795214
L032,20,F1,0.34586475
L032,20,F2,0.69309161
L032,20,F3,0.5706629
L032,20,F4,0.57680615
L032,20,F5,0.40972069
L032,20,F6,0.33537992
L032,20,F7,0.32534153
L032,20,F8,0.33472402
L033,10,F1,0.23355698
L033,10,F2,0.22203107
L033,10,F3,0.30594958
L033,10,F4,0.20552388
L033,10,F5,0.45410944
L033,10,F6,0.17617535
L033,10,F7,0.21208252
L033,10,F8,0.33617467
L033,20,F1,0.39488901
L033,20,F2,0.26554317
L033,20,F3,0.29964331
L033,20,F4,0.25172224
L033,20,F5,0.50985876
L033,20,F6,0.42379251
L033,20,F7,0.45814632
L033,20,F8,0.42570956
L034,10,F1,0.45297467
L034,10,F2,0.44145202
L034,10,F3,0.30617293
L034,10,F4,0.2930243
L034,10,F5,0.26278473
L034,10,F6,0.35532669
L034,10,F7,0.31448737
L034,10,F8,0.31822897
L034,20,F1,0.553753
L034,20,F2,0.55216473
L034,20,F3,0.50616801
L034,20,F4,0.31386487
L034,20,F5,0.39470642
L034,20,F6,0.50723713
L034,20,F7,0.33444352
L034,20,F8,0.33433314
L035,10,F1,0.19425659
L035,10,F2,0.31957258
L035,10,F3,0.22071564
L035,10,F4,0.2082518
L035,10,F5,0.21003917
L035,10,F6,0.32704702
L035,10,F7,0.26781907
L035,10,F8,0.25277517
L035,20,F1,0.43346591
L035,20,F2,0.50668023
L035,20,F3,0.27000307
L035,20,F4,0.35679929
L035,20,F5,0.36543327
L035,20,F6,0.32755167
L035,20,F7,0.3789104
L035,20,F8,0.27035661
L036,10,F1,0.3615001
L036,10,F2,0.27185908
L036,10,F3,0.43852341
L036,10,F4,0.25739071
L036,10,F5,0.36477072
L036,10,F6,0.35245583
L036,10,F7,0.39933259
L036,10,F8,0.20320581
L036,20,F1,0.45318056
L036,20,F2,0.38890483
L036,20,F3,0.56567019
L036,20,F4,0.43331512
L036,20,F5,0.46303802
L036,20,F6,0.537265
L036,20,F7,0.47053997
L036,20,F8,0.38308506
L037,10,F1,0.26666687
L037,10,F2,0.40922243
L037,10,F3,0.40926553
L037,10,F4,0.34847334
L037,10,F5,0.35810996
L037,10,F6,0.38606766
L037,10,F7,0.46085983
L037,10,F8,0.36386727
L037,20,F1,0.44126837
L037,20,F2,0.50360399
L037,20,F3,0.41135276
L037,20,F4,0.39253169
L037,20,F5,0.53397089
L037,20,F6,0.39502758
L037,20,F7,0.53780299
L037,20,F8,0.48365992
L038,10,F1,0.25693301
L038,10,F2,0.50918022
L038,10,F3,0.56021069
L038,10,F4,0.38446094
L038,10,F5,0.2475775
L038,10,F6,0.24877426
L038,10,F7,0.26933667
L038,10,F8,0.42764923
L038,20,F1,0.33306416
L038,20,F2,0.67132164
L038,20,F3,0.69710048
L038,20,F4,0.52404824
L038,20,F5,0.61886654
L038,20,F6,0.58148405
L038,20,F7,0.31169788
L038,20,F8,0.44053642
L039,10,F1,0.43033844
L039,10,F2,0.40015685
L039,10,F3,0.37997895
L039,10,F4,0.24499122
L039,10,F5,0.31247993
L039,10,F6,0.22584472
L039,10,F7,0.45514654
L039,10,F8,0.52475218
L039,20,F1,0.50002113
L039,20,F2,0.55431632
L039,20,F3,0.57703626
L039,20,F4,0.32417423
L039,20,F5,0.41833137
L039,20,F6,0.43273163
L039,20,F7,0.50176625
L039,20,F8,0.592592
L040,10,F1,0.41671259
L040,10,F2,0.25780038
L040,10,F3,0.42860815
L040,10,F4,0.47656814
L040,10,F5,0.41522436
L040,10,F6,0.56891326
L040,10,F7,0.34777165
L040,10,F8,0.3466632
L040,20,F1,0.50551424
L040,20,F2,0.3750938
L040,20,F3,0.40849621
L040,20,F4,0.55821876
L040,20,F5,0.51323323
L040,20,F6,0.51827708
L040,20,F7,0.50880212
L040,20,F8,0.46142202
L041,10,F1,0.23038808
L041,10,F2,0.32660911
L041,10,F3,0.38067323
L041,10,F4,0.31172834
L041,10,F5,0.37977222
L041,10,F6,0.45012273
L041,10,F7,0.58732308
L041,10,F8,0.25474846
L041,20,F1,0.4227277
L041,20,F2,0.57914627
L041,20,F3,0.58265306
L041,20,F4,0.45206876
L041,20,F5,0.4895696
L041,20,F6,0.63534176
L041,20,F7,0.63538022
L041,20,F8,0.41884956
L042,10,F1,0.25593206
L042,10,F2,0.33943632
L042,10,F3,0.38373774
L042,10,F4,0.31972067
L042,10,F5,0.37628442
L042,10,F6,0.39388388
L042,10,F7,0.41321118
L042,10,F8,0.28287399
L042,20,F1,0.33855197
L042,20,F2,0.35307852
L042,20,F3,0.38681895
L042,20,F4,0.46556884
L042,20,F5,0.37514499
L042,20,F6,0.59500258
L042,20,F7,0.41009461
L042,20,F8,0.43474526
L043,10,F1,0.57946957
L043,10,F2,0.29053002
L043,10,F3,0.49286917
L043,10,F4,0.23499608
L043,10,F5,0.34211782
L043,10,F6,0.29267666
L043,10,F7,0.51422565
L043,10,F8,0.6178116
L043,20,F1,0.65083453
L043,20,F2,0.64482948
L043,20,F3,0.50048349
L043,20,F4,0.55134371
L043,20,F5,0.60976494
L043,20,F6,0.49672133
L043,20,F7,0.51689372
L043,20,F8,0.6783344
L044,10,F1,0.48799299
L044,10,F2,0.28664734
L044,10,F3,0.59256879
L044,10,F4,0.31794258
L044,10,F5,0.42077433
L044,10,F6,0.30374252
L044,10,F7,0.27973464
L044,10,F8,0.24701208
L044,20,F1,0.57167098
L044,20,F2,0.31664474
L044,20,F3,0.71392874
L044,20,F4,0.3823084
L044,20,F5,0.41882544
L044,20,F6,0.50529731
L044,20,F7,0.52911956
L044,20,F8,0.4309485
L045,10,F1,0.31899791
L045,10,F2,0.2316583
L045,10,F3,0.3032464
L045,10,F4,0.25933477
L045,10,F5,0.25412962
L045,10,F6,0.30878175
L045,10,F7,0.58787568
L045,10,F8,0.59349225
L045,20,F1,0.48351606
L045,20,F2,0.36279231
L045,20,F3,0.33714478
L045,20,F4,0.53219855
L045,20,F5,0.58523236
L045,20,F6,0.48434215
L045,20,F7,0.56152791
L045,20,F8,0.57000128
L046,10,F1,0.41319053
L046,10,F2,0.47976333
L046,10,F3,0.34488274
L046,10,F4,0.33147365
L046,10,F5,0.31309336
L046,10,F6,0.51487081
L046,10,F7,0.67270948
L046,10,F8,0.49252747
L046,20,F1,0.60859912
L046,20,F2,0.59625381
L046,20,F3,0.60162409
L046,20,F4,0.63259174
L046,20,F5,0.6224305
L046,20,F6,0.69149306
L046,20,F7,0.62862118
L046,20,F8,0.68457186
L047,10,F1,0.2785309
L047,10,F2,0.32689026
L047,10,F3,0.46371742
L047,10,F4,0.32241243
L047,10,F5,0.23823206
L047,10,F6,0.39666052
L047,10,F7,0.23052458
L047,10,F8,0.28614271
L047,20,F1,0.40742586
L047,20,F2,0.42179971
L047,20,F3,0.49269577
L047,20,F4,0.31093091
L047,20,F5,0.39996196
L047,20,F6,0.37149585
L047,20,F7,0.36254055
L047,20,F8,0.28024509
L048,10,F1,0.35993132
L048,10,F2,0.26927545
L048,10,F3,0.25112403
L048,10,F4,0.23484961
L048,10,F5,0.25124528
L048,10,F6,0.40168864
L048,10,F7,0.33280833
L048,10,F8,0.33633898
L048,20,F1,0.44449048
L048,20,F2,0.50633027
L048,20,F3,0.39540258
L048,20,F4,0.35357337
L048,20,F5,0.3609138
L048,20,F6,0.46018642
L048,20,F7,0.40688486
L048,20,F8,0.47287715
L049,10,F1,0.37512342
L049,10,F2,0.45773025
L049,10,F3,0.46423399
L049,10,F4,0.43087775
L049,10,F5,0.36237504
L049,10,F6,0.5746085
L049,10,F7,0.34704773
L049,10,F8,0.35946313
L049,20,F1,0.64796585
L049,20,F2,0.49502695
L049,20,F3,0.67986664
L049,20,F4,0.64426313
L049,20,F5,0.6898595
L049,20,F6,0.64941598
L049,20,F7,0.55221683
L049,20,F8,0.62955724
L050,10,F1,0.33520148
L050,10,F2,0.3693978
L050,10,F3,0.52013191
L050,10,F4,0.31231945
L050,10,F5,0.31664157
L050,10,F6,0.42719437
L050,10,F7,0.39541048
L050,10,F8,0.40689424
L050,20,F1,0.45876913
L050,20,F2,0.37073016
L050,20,F3,0.56924419
L050,20,F4,0.51270411
L050,20,F5,0.37350288
L050,20,F6,0.49825742
L050,20,F7,0.48072843
L050,20,F8,0.40328844
L051,10,F1,0.28767567
L051,10,F2,0.33337779
L051,10,F3,0.4129848
L051,10,F4,0.29696254
L051,10,F5,0.41686223
L051,10,F6,0.28818093
L051,10,F7,0.35751563
L051,10,F8,0.30110453
L051,20,F1,0.43735606
L051,20,F2,0.56394776
L051,20,F3,0.51029717
L051,20,F4,0.54275815
L051,20,F5,0.50149798
L051,20,F6,0.44854742
L051,20,F7,0.4780536
L051,20,F8,0.42684408
L052,10,F1,0.25732304
L052,10,F2,0.58022983
L052,10,F3,0.26348149
L052,10,F4,0.44772972
L052,10,F5,0.44473311
L052,10,F6,0.40583713
L052,10,F7,0.36106197
L052,10,F8,0.28378797
L052,20,F1,0.47266027
L052,20,F2,0.64678887
L052,20,F3,0.48326938
L052,20,F4,0.63420197
L052,20,F5,0.44889361
L052,20,F6,0.53177488
L052,20,F7,0.49189956
L052,20,F8,0.44296167
L053,10,F1,0.41541888
L053,10,F2,0.41618672
L053,10,F3,0.38176414
L053,10,F4,0.41215431
L053,10,F5,0.32177287
L053,10,F6,0.2301203
L053,10,F7,0.25971752
L053,10,F8,0.29653498
L053,20,F1,0.39784291
L053,20,F2,0.47920843
L053,20,F3,0.45713484
L053,20,F4,0.39367685
L053,20,F5,0.31956517
L053,20,F6,0.32235566
L053,20,F7,0.47363111
L053,20,F8,0.3014321
L054,10,F1,0.31749966
L054,10,F2,0.36489099
L054,10,F3,0.43969774
L054,10,F4,0.4436908
L054,10,F5,0.22893765
L054,10,F6,0.23450558
L054,10,F7,0.47650395
L054,10,F8,0.30372564
L054,20,F1,0.44986309
L054,20,F2,0.35784025
L054,20,F3,0.41816766
L054,20,F4,0.57599633
L054,20,F5,0.30100992
L054,20,F6,0.3750821
L054,20,F7,0.51875575
L054,20,F8,0.3120797
L055,10,F1,0.30319924
L055,10,F2,0.56211068
L055,10,F3,0.28891282
L055,10,F4,0.24623458
L055,10,F5,0.46567341
L055,10,F6,0.32781526
L055,10,F7,0.27833638
L055,10,F8,0.36552132
L055,20,F1,0.62869742
L055,20,F2,0.51597767
L055,20,F3,0.44162663
L055,20,F4,0.38757348
L055,20,F5,0.55226505
L055,20,F6,0.46066434
L055,20,F7,0.44399465
L055,20,F8,0.49580827
L056,10,F1,0.44518764
L056,10,F2,0.31923526
L056,10,F3,0.39249783
L056,10,F4,0.24882927
L056,10,F5,0.26102172
L056,10,F6,0.43770022
L056,10,F7,0.27162818
L056,10,F8,0.42544225
L056,20,F1,0.4256041
L056,20,F2,0.47606882
L056,20,F3,0.39145041
L056,20,F4,0.4663189
L056,20,F5,0.40786406
L056,20,F6,0.62614891
L056,20,F7,0.43415557
L056,20,F8,0.51003721
L057,10,F1,0.37727839
L057,10,F2,0.29104529
L057,10,F3,0.28706283
L057,10,F4,0.33998091
L057,10,F5,0.43416079
L057,10,F6,0.3993325
L057,10,F7,0.41598419
L057,10,F8,0.44199925
L057,20,F1,0.41415586
L057,20,F2,0.39828571
L057,20,F3,0.43007815
L057,20,F4,0.44746076
L057,20,F5,0.41025247
L057,20,F6,0.47273767
L057,20,F7,0.51982536
L057,20,F8,0.52071335
L058,10,F1,0.51073147
L058,10,F2,0.25101054
L058,10,F3,0.32974317
L058,10,F4,0.35958462
L058,10,F5,0.4239198
L058,10,F6,0.3969204
L058,10,F7,0.3955742
L058,10,F8,0.36065368
L058,20,F1,0.52938665
L058,20,F2,0.36532953
L058,20,F3,0.49119109
L058,20,F4,0.4947691
L058,20,F5,0.54732447
L058,20,F6,0.52759434
L058,20,F7,0.36653747
L058,20,F8,0.48204397
L059,10,F1,0.23675203
L059,10,F2,0.37166023
L059,10,F3,0.3986276
L059,10,F4,0.3706692
L059,10,F5,0.31975019
L059,10,F6,0.28047963
L059,10,F7,0.28150057
L059,10,F8,0.4874556
L059,20,F1,0.3937632
L059,20,F2,0.47559252
L059,20,F3,0.59174263
L059,20,F4,0.37940746
L059,20,F5,0.36002585
L059,20,F6,0.40479507
L059,20,F7,0.5191936
L059,20,F8,0.61767111
L060,10,F1,0.18674683
L060,10,F2,0.27053404
L060,10,F3,0.24062371
L060,10,F4,0.34560149
L060,10,F5,0.30894912
L060,10,F6,0.25168168
L060,10,F7,0.35434445
L060,10,F8,0.43360684
L060,20,F1,0.34430674
L060,20,F2,0.37228301
L060,20,F3,0.30829205
L060,20,F4,0.43791724
L060,20,F5,0.30559742
L060,20,F6,0.4691827
L060,20,F7,0.34326663
L060,20,F8,0.54041624
L061,10,F1,0.28443141
L061,10,F2,0.47624273
L061,10,F3,0.22373264
L061,10,F4,0.26486972
L061,10,F5,0.25958577
L061,10,F6,0.60834449
L061,10,F7,0.2965548
L061,10,F8,0.34225411
L061,20,F1,0.51751636
L061,20,F2,0.58105662
L061,20,F3,0.5872384
L061,20,F4,0.50368909
L061,20,F5,0.34728181
L061,20,F6,0.65313196
L061,20,F7,0.57564156
L061,20,F8,0.37241898
L062,10,F1,0.4254386
L062,10,F2,0.51840464
L062,10,F3,0.2359248
L062,10,F4,0.33030645
L062,10,F5,0.26083455
L062,10,F6,0.27035708
L062,10,F7,0.29819863
L062,10,F8,0.32563095
L062,20,F1,0.58884762
L062,20,F2,0.46859363
L062,20,F3,0.32160478
L062,20,F4,0.4346153
L062,20,F5,0.41196861
L062,20,F6,0.52222642
L062,20,F7,0.30679016
L062,20,F8,0.32597169
L063,10,F1,0.21122356
L063,10,F2,0.33182445
L063,10,F3,0.24317668
L063,10,F4,0.43299302
L063,10,F5,0.23424595
L063,10,F6,0.31473607
