learner_id,session_id,task_id,day,question_id,concept_id,correct,source_turn,mastery_before
L003,L003_S06,L003_S06_Q05,13,Q0004,F2,0,L003_S06_T022,0.49651456
L003,L003_S07,L003_S07_Q01,16,Q0002,F1,0,L003_S07_T002,0.27773354
L003,L003_S07,L003_S07_Q02,16,Q0009,F3,0,L003_S07_T007,0.36842287
L003,L003_S07,L003_S07_Q03,16,Q0001,F1,0,L003_S07_T012,0.31450586
L003,L003_S07,L003_S07_Q04,16,Q0013,F5,0,L003_S07_T017,0.30071907
L003,L003_S07,L003_S07_Q05,16,Q0019,F7,0,L003_S07_T022,0.30375086
L003,L003_S08,L003_S08_Q01,18,Q0017,F6,0,L003_S08_T002,0.31564674
L003,L003_S08,L003_S08_Q02,18,Q0005,F2,1,L003_S08_T007,0.48931076
L003,L003_S08,L003_S08_Q03,18,Q0010,F4,0,L003_S08_T012,0.37284767
L003,L003_S08,L003_S08_Q04,18,Q0022,F8,1,L003_S08_T017,0.56053541
L003,L003_S08,L003_S08_Q05,18,Q0015,F5,1,L003_S08_T022,0.32769555
L004,L004_S01,L004_S01_Q01,1,Q0014,F5,0,L004_S01_T002,0.15240176
L004,L004_S01,L004_S01_Q02,1,Q0004,F2,0,L004_S01_T007,0.26033606
L004,L004_S01,L004_S01_Q03,1,Q0024,F8,1,L004_S01_T012,0.1499422
L004,L004_S01,L004_S01_Q04,1,Q0024,F8,0,L004_S01_T017,0.40120588
L004,L004_S01,L004_S01_Q05,1,Q0002,F1,0,L004_S01_T022,0.23339157
L004,L004_S02,L004_S02_Q01,3,Q0004,F2,0,L004_S02_T002,0.2910543
L004,L004_S02,L004_S02_Q02,3,Q0017,F6,0,L004_S02_T007,0.22426084
L004,L004_S02,L004_S02_Q03,3,Q0020,F7,0,L004_S02_T012,0.1654079
L004,L004_S02,L004_S02_Q04,3,Q0018,F6,1,L004_S02_T017,0.27012009
L004,L004_S02,L004_S02_Q05,3,Q0003,F1,1,L004_S02_T022,0.26678728
L004,L004_S03,L004_S03_Q01,6,Q0014,F5,0,L004_S03_T002,0.18153981
L004,L004_S03,L004_S03_Q02,6,Q0009,F3,0,L004_S03_T007,0.18346589
L004,L004_S03,L004_S03_Q03,6,Q0012,F4,0,L004_S03_T012,0.25144605
L004,L004_S03,L004_S03_Q04,6,Q0009,F3,1,L004_S03_T017,0.23173681
L004,L004_S03,L004_S03_Q05,6,Q0021,F7,0,L004_S03_T022,0.20111395
L004,L004_S04,L004_S04_Q01,8,Q0013,F5,1,L004_S04_T002,0.220088
L004,L004_S04,L004_S04_Q02,8,Q0019,F7,0,L004_S04_T007,0.23771707
L004,L004_S04,L004_S04_Q03,8,Q0009,F3,1,L004_S04_T012,0.43919399
L004,L004_S04,L004_S04_Q04,8,Q0011,F4,1,L004_S04_T017,0.28304769
L004,L004_S04,L004_S04_Q05,8,Q0020,F7,1,L004_S04_T022,0.28278083
L004,L004_S05,L004_S05_Q01,11,Q0015,F5,1,L004_S05_T002,0.42201184
L004,L004_S05,L004_S05_Q02,11,Q0023,F8,1,L004_S05_T007,0.35086746
L004,L004_S05,L004_S05_Q03,11,Q0005,F2,0,L004_S05_T012,0.2795389
L004,L004_S05,L004_S05_Q04,11,Q0010,F4,0,L004_S05_T017,0.46354625
L004,L004_S05,L004_S05_Q05,11,Q0006,F2,0,L004_S05_T022,0.32213029
L004,L004_S06,L004_S06_Q01,13,Q0005,F2,0,L004_S06_T002,0.34670807
L004,L004_S06,L004_S06_Q02,13,Q0001,F1,0,L004_S06_T007,0.38856456
L004,L004_S06,L004_S06_Q03,13,Q0005,F2,1,L004_S06_T012,0.38532862
L004,L004_S06,L004_S06_Q04,13,Q0018,F6,1,L004_S06_T017,0.39045123
L004,L004_S06,L004_S06_Q05,13,Q0011,F4,1,L004_S06_T022,0.47407159
L004,L004_S07,L004_S07_Q01,16,Q0015,F5,0,L004_S07_T002,0.53146734
L004,L004_S07,L004_S07_Q02,16,Q0019,F7,0,L004_S07_T007,0.41538944
L004,L004_S07,L004_S07_Q03,16,Q0007,F3,0,L004_S07_T012,0.50789037
L004,L004_S07,L004_S07_Q04,16,Q0002,F1,0,L004_S07_T017,0.39774947
L004,L004_S07,L004_S07_Q05,16,Q0003,F1,0,L004_S07_T022,0.43335262
L004,L004_S08,L004_S08_Q01,18,Q0023,F8,1,L004_S08_T002,0.46572628
L004,L004_S08,L004_S08_Q02,18,Q0003,F1,0,L004_S08_T007,0.44687828
L004,L004_S08,L004_S08_Q03,18,Q0021,F7,1,L004_S08_T012,0.4307001
L004,L004_S08,L004_S08_Q04,18,Q0009,F3,0,L004_S08_T017,0.51400926
L004,L004_S08,L004_S08_Q05,18,Q0016,F6,1,L004_S08_T022,0.51153759
L005,L005_S01,L005_S01_Q01,1,Q0008,F3,0,L005_S01_T002,0.21347419
L005,L005_S01,L005_S01_Q02,1,Q0018,F6,0,L005_S01_T007,0.1135435
L005,L005_S01,L005_S01_Q03,1,Q0018,F6,0,L005_S01_T012,0.16030147
L005,L005_S01,L005_S01_Q04,1,Q0019,F7,0,L005_S01_T017,0.17565563
L005,L005_S01,L005_S01_Q05,1,Q0010,F4,0,L005_S01_T022,0.30121232
L005,L005_S02,L005_S02_Q01,3,Q0002,F1,1,L005_S02_T002,0.12929606
L005,L005_S02,L005_S02_Q02,3,Q0001,F1,0,L005_S02_T007,0.3589314
L005,L005_S02,L005_S02_Q03,3,Q0017,F6,1,L005_S02_T012,0.19987796
L005,L005_S02,L005_S02_Q04,3,Q0024,F8,0,L005_S02_T017,0.11140493
L005,L005_S02,L005_S02_Q05,3,Q0014,F5,0,L005_S02_T022,0.13692531
L005,L005_S03,L005_S03_Q01,6,Q0009,F3,0,L005_S03_T002,0.24052421
L005,L005_S03,L005_S03_Q02,6,Q0004,F2,0,L005_S03_T007,0.2204804
L005,L005_S03,L005_S03_Q03,6,Q0015,F5,0,L005_S03_T012,0.17617922
L005,L005_S03,L005_S03_Q04,6,Q0010,F4,0,L005_S03_T017,0.31892839
L005,L005_S03,L005_S03_Q05,6,Q0005,F2,1,L005_S03_T022,0.26159776
L005,L005_S04,L005_S04_Q01,8,Q0014,F5,0,L005_S04_T002,0.21457158
L005,L005_S04,L005_S04_Q02,8,Q0024,F8,0,L005_S04_T007,0.14931351
L005,L005_S04,L005_S04_Q03,8,Q0024,F8,0,L005_S04_T012,0.19418472
L005,L005_S04,L005_S04_Q04,8,Q0020,F7,1,L005_S04_T017,0.20196459
L005,L005_S04,L005_S04_Q05,8,Q0022,F8,0,L005_S04_T022,0.2366891
L005,L005_S05,L005_S05_Q01,11,Q0014,F5,0,L005_S05_T002,0.24720197
L005,L005_S05,L005_S05_Q02,11,Q0005,F2,0,L005_S05_T007,0.43050068
L005,L005_S05,L005_S05_Q03,11,Q0023,F8,0,L005_S05_T012,0.26743278
L005,L005_S05,L005_S05_Q04,11,Q0007,F3,1,L005_S05_T017,0.26469653
L005,L005_S05,L005_S05_Q05,11,Q0003,F1,0,L005_S05_T022,0.35777287
L005,L005_S06,L005_S06_Q01,13,Q0013,F5,0,L005_S06_T002,0.28029761
L005,L005_S06,L005_S06_Q02,13,Q0012,F4,0,L005_S06_T007,0.32704473
L005,L005_S06,L005_S06_Q03,13,Q0014,F5,1,L005_S06_T012,0.31825979
L005,L005_S06,L005_S06_Q04,13,Q0003,F1,0,L005_S06_T017,0.38262237
L005,L005_S06,L005_S06_Q05,13,Q0021,F7,0,L005_S06_T022,0.389081
L005,L005_S07,L005_S07_Q01,16,Q0012,F4,0,L005_S07_T002,0.35008073
L005,L005_S07,L005_S07_Q02,16,Q0022,F8,1,L005_S07_T007,0.28874245
L005,L005_S07,L005_S07_Q03,16,Q0014,F5,1,L005_S07_T012,0.48094064
L005,L005_S07,L005_S07_Q04,16,Q0020,F7,0,L005_S07_T017,0.40682507
L005,L005_S07,L005_S07_Q05,16,Q0018,F6,0,L005_S07_T022,0.35311407
L005,L005_S08,L005_S08_Q01,18,Q0006,F2,0,L005_S08_T002,0.42444971
L005,L005_S08,L005_S08_Q02,18,Q0008,F3,1,L005_S08_T007,0.42268192
L005,L005_S08,L005_S08_Q03,18,Q0010,F4,0,L005_S08_T012,0.3755039
L005,L005_S08,L005_S08_Q04,18,Q0017,F6,0,L005_S08_T017,0.37831102
L005,L005_S08,L005_S08_Q05,18,Q0007,F3,1,L005_S08_T022,0.57494106
L006,L006_S01,L006_S01_Q01,1,Q0022,F8,0,L006_S01_T002,0.34220316
L006,L006_S01,L006_S01_Q02,1,Q0016,F6,0,L006_S01_T007,0.11385467
L006,L006_S01,L006_S01_Q03,1,Q0006,F2,0,L006_S01_T012,0.32311553
L006,L006_S01,L006_S01_Q04,1,Q0008,F3,0,L006_S01_T017,0.2712867
L006,L006_S01,L006_S01_Q05,1,Q0001,F1,1,L006_S01_T022,0.25495208
L006,L006_S02,L006_S02_Q01,3,Q0011,F4,0,L006_S02_T002,0.13795476
L006,L006_S02,L006_S02_Q02,3,Q0018,F6,1,L006_S02_T007,0.14275418
L006,L006_S02,L006_S02_Q03,3,Q0019,F7,1,L006_S02_T012,0.17932185
L006,L006_S02,L006_S02_Q04,3,Q0015,F5,1,L006_S02_T017,0.15824075
L006,L006_S02,L006_S02_Q05,3,Q0012,F4,0,L006_S02_T022,0.1710829
L006,L006_S03,L006_S03_Q01,6,Q0012,F4,0,L006_S03_T002,0.19242201
L006,L006_S03,L006_S03_Q02,6,Q0017,F6,0,L006_S03_T007,0.29153992
L006,L006_S03,L006_S03_Q03,6,Q0003,F1,0,L006_S03_T012,0.36432674
L006,L006_S03,L006_S03_Q04,6,Q0020,F7,1,L006_S03_T017,0.31955039
L006,L006_S03,L006_S03_Q05,6,Q0024,F8,0,L006_S03_T022,0.33629628
L006,L006_S04,L006_S04_Q01,8,Q0009,F3,1,L006_S04_T002,0.26434664
L006,L006_S04,L006_S04_Q02,8,Q0011,F4,0,L006_S04_T007,0.21566929
L006,L006_S04,L006_S04_Q03,8,Q0005,F2,0,L006_S04_T012,0.30836488
L006,L006_S04,L006_S04_Q04,8,Q0013,F5,0,L006_S04_T017,0.29282859
L006,L006_S04,L006_S04_Q05,8,Q0014,F5,1,L006_S04_T022,0.32000497
L006,L006_S05,L006_S05_Q01,11,Q0011,F4,0,L006_S05_T002,0.23307335
L006,L006_S05,L006_S05_Q02,11,Q0015,F5,0,L006_S05_T007,0.42731225
L006,L006_S05,L006_S05_Q03,11,Q0010,F4,0,L006_S05_T012,0.26254611
L006,L006_S05,L006_S05_Q04,11,Q0009,F3,0,L006_S05_T017,0.38467853
L006,L006_S05,L006_S05_Q05,11,Q0024,F8,0,L006_S05_T022,0.33109842
L006,L006_S06,L006_S06_Q01,13,Q0003,F1,0,L006_S06_T002,0.34336558
L006,L006_S06,L006_S06_Q02,13,Q0011,F4,1,L006_S06_T007,0.28074855
L006,L006_S06,L006_S06_Q03,13,Q0007,F3,1,L006_S06_T012,0.39409459
L006,L006_S06,L006_S06_Q04,13,Q0018,F6,0,L006_S06_T017,0.28154771
L006,L006_S06,L006_S06_Q05,13,Q0012,F4,1,L006_S06_T022,0.41895162
L006,L006_S07,L006_S07_Q01,16,Q0006,F2,0,L006_S07_T002,0.29063632
L006,L006_S07,L006_S07_Q02,16,Q0022,F8,1,L006_S07_T007,0.32652446
L006,L006_S07,L006_S07_Q03,16,Q0016,F6,0,L006_S07_T012,0.29313756
L006,L006_S07,L006_S07_Q04,16,Q0005,F2,0,L006_S07_T017,0.31789695
L006,L006_S07,L006_S07_Q05,16,Q0011,F4,0,L006_S07_T022,0.50310439
L006,L006_S08,L006_S08_Q01,18,Q0003,F1,1,L006_S08_T002,0.33731917
L006,L006_S08,L006_S08_Q02,18,Q0019,F7,0,L006_S08_T007,0.36397026
L006,L006_S08,L006_S08_Q03,18,Q0018,F6,0,L006_S08_T012,0.30913922
L006,L006_S08,L006_S08_Q04,18,Q0015,F5,0,L006_S08_T017,0.39685919
L006,L006_S08,L006_S08_Q05,18,Q0019,F7,0,L006_S08_T022,0.38841269
L007,L007_S01,L007_S01_Q01,1,Q0009,F3,0,L007_S01_T002,0.33871519
L007,L007_S01,L007_S01_Q02,1,Q0023,F8,0,L007_S01_T007,0.16045468
L007,L007_S01,L007_S01_Q03,1,Q0014,F5,0,L007_S01_T012,0.11627197
L007,L007_S01,L007_S01_Q04,1,Q0018,F6,1,L007_S01_T017,0.23746174
L007,L007_S01,L007_S01_Q05,1,Q0003,F1,1,L007_S01_T022,0.12937468
L007,L007_S02,L007_S02_Q01,3,Q0018,F6,1,L007_S02_T002,0.45381017
L007,L007_S02,L007_S02_Q02,3,Q0001,F1,1,L007_S02_T007,0.37989314
L007,L007_S02,L007_S02_Q03,3,Q0010,F4,1,L007_S02_T012,0.24933965
L007,L007_S02,L007_S02_Q04,3,Q0014,F5,0,L007_S02_T017,0.16490507
L007,L007_S02,L007_S02_Q05,3,Q0004,F2,0,L007_S02_T022,0.19444243
L007,L007_S03,L007_S03_Q01,6,Q0020,F7,0,L007_S03_T002,0.27952454
L007,L007_S03,L007_S03_Q02,6,Q0014,F5,0,L007_S03_T007,0.20689641
L007,L007_S03,L007_S03_Q03,6,Q0022,F8,0,L007_S03_T012,0.19785209
L007,L007_S03,L007_S03_Q04,6,Q0002,F1,1,L007_S03_T017,0.54435957
L007,L007_S03,L007_S03_Q05,6,Q0005,F2,0,L007_S03_T022,0.23364535
L007,L007_S04,L007_S04_Q01,8,Q0021,F7,1,L007_S04_T002,0.31460772
L007,L007_S04,L007_S04_Q02,8,Q0024,F8,0,L007_S04_T007,0.23971407
L007,L007_S04,L007_S04_Q03,8,Q0007,F3,0,L007_S04_T012,0.34651283
L007,L007_S04,L007_S04_Q04,8,Q0011,F4,1,L007_S04_T017,0.44491356
L007,L007_S04,L007_S04_Q05,8,Q0005,F2,0,L007_S04_T022,0.2725365
L007,L007_S05,L007_S05_Q01,11,Q0013,F5,0,L007_S05_T002,0.2388701
L007,L007_S05,L007_S05_Q02,11,Q0015,F5,0,L007_S05_T007,0.28435575
L007,L007_S05,L007_S05_Q03,11,Q0012,F4,1,L007_S05_T012,0.58827187
L007,L007_S05,L007_S05_Q04,11,Q0015,F5,0,L007_S05_T017,0.32712315
L007,L007_S05,L007_S05_Q05,11,Q0020,F7,1,L007_S05_T022,0.50026831
L007,L007_S06,L007_S06_Q01,13,Q0008,F3,1,L007_S06_T002,0.36218131
L007,L007_S06,L007_S06_Q02,13,Q0024,F8,0,L007_S06_T007,0.26785512
L007,L007_S06,L007_S06_Q03,13,Q0006,F2,0,L007_S06_T012,0.29684436
L007,L007_S06,L007_S06_Q04,13,Q0011,F4,1,L007_S06_T017,0.69371718
L007,L007_S06,L007_S06_Q05,13,Q0022,F8,0,L007_S06_T022,0.31160861
L007,L007_S07,L007_S07_Q01,16,Q0007,F3,0,L007_S07_T002,0.53239768
L007,L007_S07,L007_S07_Q02,16,Q0005,F2,0,L007_S07_T007,0.32638024
L007,L007_S07,L007_S07_Q03,16,Q0018,F6,1,L007_S07_T012,0.52438064
L007,L007_S07,L007_S07_Q04,16,Q0001,F1,1,L007_S07_T017,0.60046488
L007,L007_S07,L007_S07_Q05,16,Q0020,F7,0,L007_S07_T022,0.61019256
L007,L007_S08,L007_S08_Q01,18,Q0005,F2,1,L007_S08_T002,0.35757442
L007,L007_S08,L007_S08_Q02,18,Q0001,F1,1,L007_S08_T007,0.70205556
L007,L007_S08,L007_S08_Q03,18,Q0023,F8,0,L007_S08_T012,0.3313534
L007,L007_S08,L007_S08_Q04,18,Q0015,F5,0,L007_S08_T017,0.33652763
L007,L007_S08,L007_S08_Q05,18,Q0018,F6,1,L007_S08_T022,0.65002416
L008,L008_S01,L008_S01_Q01,1,Q0007,F3,1,L008_S01_T002,0.30596761
L008,L008_S01,L008_S01_Q02,1,Q0016,F6,0,L008_S01_T007,0.2796232
L008,L008_S01,L008_S01_Q03,1,Q0005,F2,1,L008_S01_T012,0.3041439
L008,L008_S01,L008_S01_Q04,1,Q0024,F8,0,L008_S01_T017,0.28870088
L008,L008_S01,L008_S01_Q05,1,Q0017,F6,0,L008_S01_T022,0.32070745
L008,L008_S02,L008_S02_Q01,3,Q0020,F7,0,L008_S02_T002,0.20633512
L008,L008_S02,L008_S02_Q02,3,Q0009,F3,1,L008_S02_T007,0.48262153
L008,L008_S02,L008_S02_Q03,3,Q0001,F1,0,L008_S02_T012,0.19951219
L008,L008_S02,L008_S02_Q04,3,Q0023,F8,0,L008_S02_T017,0.31537794
L008,L008_S02,L008_S02_Q05,3,Q0002,F1,0,L008_S02_T022,0.2451653
L008,L008_S03,L008_S03_Q01,6,Q0011,F4,0,L008_S03_T002,0.21627282
L008,L008_S03,L008_S03_Q02,6,Q0021,F7,0,L008_S03_T007,0.2358484
L008,L008_S03,L008_S03_Q03,6,Q0015,F5,1,L008_S03_T012,0.23271567
L008,L008_S03,L008_S03_Q04,6,Q0011,F4,0,L008_S03_T017,0.26097005
L008,L008_S03,L008_S03_Q05,6,Q0002,F1,0,L008_S03_T022,0.27017181
L008,L008_S04,L008_S04_Q01,8,Q0003,F1,0,L008_S04_T002,0.29864264
L008,L008_S04,L008_S04_Q02,8,Q0015,F5,1,L008_S04_T007,0.43246683
L008,L008_S04,L008_S04_Q03,8,Q0006,F2,0,L008_S04_T012,0.43220321
L008,L008_S04,L008_S04_Q04,8,Q0015,F5,0,L008_S04_T017,0.59430349
L008,L008_S04,L008_S04_Q05,8,Q0011,F4,0,L008_S04_T022,0.29033169
L008,L008_S05,L008_S05_Q01,11,Q0007,F3,0,L008_S05_T002,0.53036934
L008,L008_S05,L008_S05_Q02,11,Q0013,F5,1,L008_S05_T007,0.57878772
